DATE,NEW CISS - Composite Indicator of Systemic Stress. (CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX)
01/01/2015,0.0061
02/01/2015,0.0064
05/01/2015,0.0127
06/01/2015,0.0264
07/01/2015,0.0299
08/01/2015,0.0265
09/01/2015,0.0312
12/01/2015,0.0259
13/01/2015,0.0226
14/01/2015,0.0243
15/01/2015,0.0332
16/01/2015,0.0372
19/01/2015,0.0387
20/01/2015,0.0427
21/01/2015,0.0427
22/01/2015,0.0824
23/01/2015,0.1088
26/01/2015,0.1198
27/01/2015,0.1153
28/01/2015,0.1164
29/01/2015,0.1201
30/01/2015,0.1148
02/02/2015,0.1104
03/02/2015,0.1322
04/02/2015,0.1342
05/02/2015,0.1248
06/02/2015,0.1112
09/02/2015,0.0996
10/02/2015,0.0984
11/02/2015,0.0859
12/02/2015,0.0946
13/02/2015,0.0903
16/02/2015,0.0738
17/02/2015,0.0754
18/02/2015,0.0804
19/02/2015,0.0725
20/02/2015,0.0615
23/02/2015,0.0582
24/02/2015,0.0485
25/02/2015,0.0339
26/02/2015,0.0501
27/02/2015,0.0412
02/03/2015,0.0321
03/03/2015,0.0241
04/03/2015,0.0272
05/03/2015,0.026
06/03/2015,0.0322
09/03/2015,0.0317
10/03/2015,0.0617
11/03/2015,0.1115
12/03/2015,0.1349
13/03/2015,0.1468
16/03/2015,0.1548
17/03/2015,0.1504
18/03/2015,0.1702
19/03/2015,0.1744
20/03/2015,0.1931
23/03/2015,0.1946
24/03/2015,0.1957
25/03/2015,0.1841
26/03/2015,0.178
27/03/2015,0.1658
30/03/2015,0.1725
31/03/2015,0.1733
01/04/2015,0.1649
02/04/2015,0.1659
03/04/2015,0.1466
06/04/2015,0.1242
07/04/2015,0.1287
08/04/2015,0.1105
09/04/2015,0.1156
10/04/2015,0.113
13/04/2015,0.1064
14/04/2015,0.0858
15/04/2015,0.0726
16/04/2015,0.0627
17/04/2015,0.0691
20/04/2015,0.0735
21/04/2015,0.0681
22/04/2015,0.0587
23/04/2015,0.0653
24/04/2015,0.0661
27/04/2015,0.0745
28/04/2015,0.0716
29/04/2015,0.0779
30/04/2015,0.1043
01/05/2015,0.1146
04/05/2015,0.1191
05/05/2015,0.1192
06/05/2015,0.1364
07/05/2015,0.1305
08/05/2015,0.1418
11/05/2015,0.1364
12/05/2015,0.1266
13/05/2015,0.1302
14/05/2015,0.1227
15/05/2015,0.1162
18/05/2015,0.1134
19/05/2015,0.129
20/05/2015,0.123
21/05/2015,0.1144
22/05/2015,0.1058
25/05/2015,0.0969
26/05/2015,0.0961
27/05/2015,0.1001
28/05/2015,0.0907
29/05/2015,0.094
01/06/2015,0.091
02/06/2015,0.1101
03/06/2015,0.1186
04/06/2015,0.1202
05/06/2015,0.128
08/06/2015,0.1413
09/06/2015,0.1416
10/06/2015,0.1552
11/06/2015,0.1474
12/06/2015,0.152
15/06/2015,0.1591
16/06/2015,0.1562
17/06/2015,0.1572
18/06/2015,0.1576
19/06/2015,0.1476
22/06/2015,0.1556
23/06/2015,0.1675
24/06/2015,0.1592
